Sample     Label        p(atk)   Status     Verdict
713        attack       0.6069   ATTACK     [TP] Correct
714        ?            0.6107   ATTACK     [??] No label
715        attack       0.6088   ATTACK     [TP] Correct
716        ?            0.6048   ATTACK     [??] No label
717        attack       0.6068   ATTACK     [TP] Correct
718        ?            0.6086   ATTACK     [??] No label
719        attack       0.6078   ATTACK     [TP] Correct
720        ?            0.6074   ATTACK     [??] No label
721        attack       0.6076   ATTACK     [TP] Correct
722        ?            0.6065   ATTACK     [??] No label
723        attack       0.6071   ATTACK     [TP] Correct
724        ?            0.6075   ATTACK     [??] No label
725        attack       0.6072   ATTACK     [TP] Correct
726        ?            0.6076   ATTACK     [??] No label
727        attack       0.6074   ATTACK     [TP] Correct
728        ?            0.6046   ATTACK     [??] No label
729        attack       0.6060   ATTACK     [TP] Correct
730        ?            0.6079   ATTACK     [??] No label
731        attack       0.6069   ATTACK     [TP] Correct
732        ?            0.6100   ATTACK     [??] No label
733        attack       0.6085   ATTACK     [TP] Correct
734        ?            0.6082   ATTACK     [??] No label
735        attack       0.6084   ATTACK     [TP] Correct
736        ?            0.6144   ATTACK     [??] No label
737        attack       0.6115   ATTACK     [TP] Correct
738        ?            0.6100   ATTACK     [??] No label
739        attack       0.6107   ATTACK     [TP] Correct
740        ?            0.6043   ATTACK     [??] No label
741        attack       0.6074   ATTACK     [TP] Correct
742        ?            0.6012   ATTACK     [??] No label
743        attack       0.6042   ATTACK     [TP] Correct
744        ?            0.6005   ATTACK     [??] No label
745        attack       0.6023   ATTACK     [TP] Correct
746        ?            0.6002   ATTACK     [??] No label
747        attack       0.6013   ATTACK     [TP] Correct
748        ?            0.5986   ATTACK     [??] No label
749        attack       0.5999   ATTACK     [TP] Correct
750        ?            0.5989   ATTACK     [??] No label
751        attack       0.5994   ATTACK     [TP] Correct
752        ?            0.6027   ATTACK     [??] No label
753        attack       0.6011   ATTACK     [TP] Correct
754        ?            0.5990   ATTACK     [??] No label
755        attack       0.6000   ATTACK     [TP] Correct
756        ?            0.5955   ATTACK     [??] No label
757        attack       0.5979   ATTACK     [TP] Correct
758        ?            0.6025   ATTACK     [??] No label
759        attack       0.6002   ATTACK     [TP] Correct
760        ?            0.5999   ATTACK     [??] No label
761        attack       0.6000   ATTACK     [TP] Correct
762        ?            0.6015   ATTACK     [??] No label
763        attack       0.6007   ATTACK     [TP] Correct
764        ?            0.6083   ATTACK     [??] No label
765        attack       0.6045   ATTACK     [TP] Correct
766        ?            0.6089   ATTACK     [??] No label
767        attack       0.6067   ATTACK     [TP] Correct
768        ?            0.6033   ATTACK     [??] No label
769        attack       0.6049   ATTACK     [TP] Correct
770        ?            0.6058   ATTACK     [??] No label
771        attack       0.6054   ATTACK     [TP] Correct
772        ?            0.6055   ATTACK     [??] No label
773        attack       0.6055   ATTACK     [TP] Correct
774        ?            0.6032   ATTACK     [??] No label
775        attack       0.6043   ATTACK     [TP] Correct
776        ?            0.6046   ATTACK     [??] No label
777        attack       0.6045   ATTACK     [TP] Correct
778        ?            0.6069   ATTACK     [??] No label
779        attack       0.6057   ATTACK     [TP] Correct
780        ?            0.6111   ATTACK     [??] No label
781        attack       0.6084   ATTACK     [TP] Correct
782        ?            0.6071   ATTACK     [??] No label
783        attack       0.6077   ATTACK     [TP] Correct
784        ?            0.6021   ATTACK     [??] No label
785        attack       0.6049   ATTACK     [TP] Correct
786        ?            0.5766   ATTACK     [??] No label
800        ?            0.4004   BENIGN     [??] No label
804        ?            0.6335   ATTACK     [??] No label
805        attack       0.5788   ATTACK     [TP] Correct
