layers,units,lr,w,avg_recall,avg_f1,avg_fpr
3,8,0.001,10,0.9543333908452197,0.8505854334028478,0.22661220178399327
3,8,0.005,10,0.9526086792557891,0.843051171394324,0.23343962128176216
3,16,0.001,10,0.9645857203421766,0.8583490829480673,0.22251128262481573
3,16,0.005,10,0.9599845757667855,0.8555412630883265,0.22547343078994975
1,8,0.001,11,0.9212783460180282,0.8254157045006332,0.245405030426324
1,8,0.005,11,0.9286535045799578,0.8399464509542167,0.22594546905788832
1,16,0.001,11,0.9130628412304798,0.8289728680904584,0.24181911775787457
1,16,0.005,11,0.9708213125590561,0.8569677549297114,0.22607025812235423
2,8,0.001,11,0.9580257912387315,0.8510045721297572,0.22807427889645449
2,8,0.005,11,0.9439324579208721,0.8499061450919949,0.2219080755626442
2,16,0.001,11,0.9740353121924773,0.8633486230594931,0.22572485188171854
2,16,0.005,11,0.9704507817140268,0.8606658070949245,0.2242409683964796
3,8,0.001,11,0.9485185549350943,0.8476651723404496,0.22398755771820733
3,8,0.005,11,0.9489231908940493,0.8531240408111984,0.22449545771340498
3,16,0.001,11,0.9678882572960703,0.8652562245098352,0.21878183387383632
3,16,0.005,11,0.9623537715330291,0.8568287453239958,0.22551463106763947
1,8,0.001,12,0.9044394340475381,0.7981022965539942,0.24465961263128655
1,8,0.005,12,0.9607451233863428,0.8371537766795271,0.2490955518357581
1,16,0.001,12,0.9286424244449145,0.8478502473119317,0.22234281025720498
1,16,0.005,12,0.9595747309891023,0.8423845057842003,0.24638121433240173
2,8,0.001,12,0.9496792129553683,0.8501789295570539,0.2257873809899824
2,8,0.005,12,0.9466443997364647,0.8457795154550902,0.2367398693407327
2,16,0.001,12,0.9669635161414911,0.8627761944149684,0.22219473189903077
2,16,0.005,12,0.9708131812105304,0.8692150814054023,0.21906315567852214
3,8,0.001,12,0.9637954581974014,0.8580755351986605,0.22401361519428362
3,8,0.005,12,0.9667716465589592,0.8669851637756147,0.2205143251072718
