n_smooth,threshold,recall,fpr,f1,median_latency
5,0.498,0.9361,0.0,0.967,0.0
5,0.5066,0.9297,0.0,0.9635,0.0
5,0.5152,0.9257,0.0,0.9614,0.0
5,0.5237,0.9235,0.0,0.9602,0.0
5,0.5323,0.9219,0.0,0.9594,0.0
5,0.5409,0.9205,0.0,0.9586,0.0
5,0.5495,0.919,0.0,0.9578,0.0
5,0.5581,0.9173,0.0,0.9569,0.0
5,0.5667,0.9158,0.0,0.9561,0.0
5,0.5753,0.9141,0.0,0.9551,0.0
5,0.5838,0.912,0.0,0.954,0.0
5,0.5924,0.9094,0.0,0.9525,0.0
5,0.601,0.9062,0.0,0.9508,0.0
5,0.6096,0.9026,0.0,0.9488,0.0
5,0.6182,0.8973,0.0,0.9458,0.0
5,0.6268,0.8823,0.0,0.9374,0.0
5,0.6354,0.8457,0.0,0.9164,0.0
5,0.6439,0.7921,0.0,0.884,0.0
5,0.6525,0.7442,0.0,0.8533,0.0
5,0.6611,0.721,0.0,0.8379,0.0
5,0.6697,0.7113,0.0,0.8313,0.0
5,0.6783,0.7072,0.0,0.8285,0.0
5,0.6869,0.7048,0.0,0.8268,0.0
5,0.6955,0.7031,0.0,0.8257,0.0
5,0.704,0.7012,0.0,0.8244,0.0
5,0.7126,0.6981,0.0,0.8222,0.0
5,0.7212,0.6946,0.0,0.8198,0.0
5,0.7298,0.6909,0.0,0.8172,0.0
5,0.7384,0.6874,0.0,0.8147,0.0
5,0.747,0.6831,0.0,0.8117,0.0
5,0.7556,0.6777,0.0,0.8079,0.0
5,0.7641,0.6707,0.0,0.8029,0.0
5,0.7727,0.661,0.0,0.7959,0.0
5,0.7813,0.641,0.0,0.7812,0.0
5,0.7899,0.592,0.0,0.7437,0.0
5,0.7985,0.4905,0.0,0.6581,0.0
5,0.8071,0.336,0.0,0.503,0.0
5,0.8157,0.1951,0.0,0.3265,0.0
5,0.8242,0.1209,0.0,0.2157,0.0
5,0.8328,0.0785,0.0,0.1456,0.0
5,0.8414,0.045,0.0,0.0862,0.0
5,0.85,0.0231,0.0,0.0451,0.0
7,0.0,1.0,1.0,0.9333,0.0
7,0.0086,1.0,0.5946,0.9592,0.0
7,0.0172,1.0,0.591,0.9595,0.0
7,0.0258,1.0,0.2974,0.9792,0.0
7,0.0343,1.0,0.2282,0.9839,0.0
7,0.0429,1.0,0.2264,0.9841,0.0
7,0.0515,1.0,0.0876,0.9938,0.0
7,0.0601,1.0,0.0744,0.9947,0.0
7,0.0687,1.0,0.0576,0.9959,0.0
7,0.0773,1.0,0.0358,0.9974,0.0
7,0.0859,1.0,0.03,0.9978,0.0
7,0.0944,1.0,0.0264,0.9981,0.0
7,0.103,1.0,0.0256,0.9982,0.0
7,0.1116,1.0,0.0244,0.9982,0.0
7,0.1202,1.0,0.0206,0.9985,0.0
7,0.1288,1.0,0.0172,0.9988,0.0
7,0.1374,1.0,0.0156,0.9989,0.0
7,0.146,1.0,0.0086,0.9994,0.0
7,0.1545,1.0,0.0082,0.9994,0.0
7,0.1631,1.0,0.0046,0.9997,0.0
7,0.1717,1.0,0.0018,0.9999,0.0
7,0.1803,1.0,0.0018,0.9999,0.0
7,0.1889,1.0,0.0008,0.9999,0.0
7,0.1975,1.0,0.0008,0.9999,0.0
7,0.2061,1.0,0.0004,1.0,0.0
7,0.2146,1.0,0.0,1.0,0.0
7,0.2232,0.9999,0.0,1.0,0.0
7,0.2318,0.9999,0.0,1.0,0.0
7,0.2404,0.9998,0.0,0.9999,0.0
7,0.249,0.9996,0.0,0.9998,0.0
7,0.2576,0.9996,0.0,0.9998,0.0
7,0.2662,0.9996,0.0,0.9998,0.0
7,0.2747,0.9996,0.0,0.9998,0.0
7,0.2833,0.9995,0.0,0.9997,0.0
7,0.2919,0.9994,0.0,0.9997,0.0
7,0.3005,0.9993,0.0,0.9997,0.0
7,0.3091,0.9993,0.0,0.9996,0.0
7,0.3177,0.9993,0.0,0.9996,0.0
7,0.3263,0.9992,0.0,0.9996,0.0
7,0.3348,0.999,0.0,0.9995,0.0
7,0.3434,0.9982,0.0,0.9991,0.0
7,0.352,0.9968,0.0,0.9984,0.0
7,0.3606,0.9961,0.0,0.9981,0.0
7,0.3692,0.9955,0.0,0.9977,0.0
7,0.3778,0.9951,0.0,0.9976,0.0
7,0.3864,0.9949,0.0,0.9975,0.0
7,0.3949,0.9947,0.0,0.9974,0.0
7,0.4035,0.9943,0.0,0.9971,0.0
7,0.4121,0.994,0.0,0.997,0.0
7,0.4207,0.9935,0.0,0.9967,0.0
7,0.4293,0.9931,0.0,0.9965,0.0
7,0.4379,0.992,0.0,0.996,0.0
7,0.4465,0.9905,0.0,0.9952,0.0
7,0.4551,0.9867,0.0,0.9933,0.0
7,0.4636,0.9797,0.0,0.9897,0.0
7,0.4722,0.9735,0.0,0.9866,0.0
7,0.4808,0.9697,0.0,0.9846,0.0
7,0.4894,0.9677,0.0,0.9836,0.0
7,0.498,0.9663,0.0,0.9829,0.0
7,0.5066,0.9652,0.0,0.9823,0.0
7,0.5152,0.9639,0.0,0.9816,0.0
7,0.5237,0.9629,0.0,0.9811,0.0
7,0.5323,0.9612,0.0,0.9802,0.0
7,0.5409,0.9589,0.0,0.979,0.0
7,0.5495,0.9558,0.0,0.9774,0.0
7,0.5581,0.9506,0.0,0.9747,0.0
7,0.5667,0.9378,0.0,0.9679,0.0
7,0.5753,0.9103,0.0,0.9531,0.0
7,0.5838,0.8866,0.0,0.9399,0.0
7,0.5924,0.8718,0.0,0.9315,0.0
7,0.601,0.8661,0.0,0.9282,0.0
7,0.6096,0.8621,0.0,0.926,0.0
7,0.6182,0.8589,0.0,0.9241,0.0
7,0.6268,0.8559,0.0,0.9223,0.0
7,0.6354,0.8521,0.0,0.9201,0.0
7,0.6439,0.848,0.0,0.9177,0.0
7,0.6525,0.842,0.0,0.9142,0.0
7,0.6611,0.8355,0.0,0.9104,0.0
7,0.6697,0.8239,0.0,0.9034,0.0
7,0.6783,0.7931,0.0,0.8846,0.0
7,0.6869,0.733,0.0,0.8459,0.0
7,0.6955,0.673,0.0,0.8046,0.0
7,0.704,0.6467,0.0,0.7855,0.0
7,0.7126,0.6378,0.0,0.7789,0.0
7,0.7212,0.6338,0.0,0.7758,0.0
7,0.7298,0.6312,0.0,0.7739,0.0
7,0.7384,0.6267,0.0,0.7705,0.0
7,0.747,0.6212,0.0,0.7663,0.0
7,0.7556,0.6155,0.0,0.762,0.0
7,0.7641,0.6088,0.0,0.7568,0.0
7,0.7727,0.5997,0.0,0.7498,0.0
7,0.7813,0.5861,0.0,0.739,0.0
7,0.7899,0.5501,0.0,0.7097,0.0
7,0.7985,0.4695,0.0,0.639,0.0
7,0.8071,0.3337,0.0,0.5004,0.0
7,0.8157,0.1992,0.0,0.3322,0.0
7,0.8242,0.1176,0.0,0.2105,0.0
7,0.8328,0.0645,0.0,0.1212,0.0
7,0.8414,0.0304,0.0,0.0591,0.0
7,0.85,0.0141,0.0,0.0278,0.0
