Sample     Label        p(atk)   Status     Verdict
578        ?            0.6062   ATTACK     [??] No label
579        attack       0.6049   ATTACK     [TP] Correct
580        ?            0.6091   ATTACK     [??] No label
581        attack       0.6070   ATTACK     [TP] Correct
582        ?            0.6045   ATTACK     [??] No label
583        attack       0.6056   ATTACK     [TP] Correct
584        ?            0.6020   ATTACK     [??] No label
585        attack       0.6040   ATTACK     [TP] Correct
586        ?            0.6094   ATTACK     [??] No label
587        attack       0.6068   ATTACK     [TP] Correct
588        ?            0.6049   ATTACK     [??] No label
589        attack       0.6058   ATTACK     [TP] Correct
590        ?            0.6096   ATTACK     [??] No label
591        attack       0.6076   ATTACK     [TP] Correct
592        ?            0.6057   ATTACK     [??] No label
593        attack       0.6066   ATTACK     [TP] Correct
594        ?            0.6064   ATTACK     [??] No label
595        attack       0.6065   ATTACK     [TP] Correct
596        ?            0.6098   ATTACK     [??] No label
597        attack       0.6082   ATTACK     [TP] Correct
598        ?            0.6075   ATTACK     [??] No label
599        attack       0.6079   ATTACK     [TP] Correct
600        ?            0.5995   ATTACK     [??] No label
601        attack       0.6039   ATTACK     [TP] Correct
602        ?            0.6094   ATTACK     [??] No label
603        attack       0.6067   ATTACK     [TP] Correct
604        ?            0.6024   ATTACK     [??] No label
605        attack       0.6046   ATTACK     [TP] Correct
606        ?            0.6019   ATTACK     [??] No label
607        attack       0.6031   ATTACK     [TP] Correct
608        ?            0.6075   ATTACK     [??] No label
609        attack       0.6054   ATTACK     [TP] Correct
610        ?            0.6097   ATTACK     [??] No label
611        attack       0.6075   ATTACK     [TP] Correct
612        ?            0.6049   ATTACK     [??] No label
613        attack       0.6062   ATTACK     [TP] Correct
614        ?            0.6064   ATTACK     [??] No label
615        attack       0.6063   ATTACK     [TP] Correct
616        ?            0.6112   ATTACK     [??] No label
617        attack       0.6087   ATTACK     [TP] Correct
618        ?            0.6122   ATTACK     [??] No label
619        attack       0.6103   ATTACK     [TP] Correct
620        ?            0.6051   ATTACK     [??] No label
621        attack       0.6077   ATTACK     [TP] Correct
